factor,horizon_days,lag_days,correlation,nobs
Inflation expectations gap,5,0,-0.007724135181179548,4004
Inflation expectations gap,5,5,0.007176555703468763,3999
Inflation expectations gap,5,10,-0.007110081463530998,3994
Inflation expectations gap,5,15,-0.013890913479394675,3989
Inflation expectations gap,5,20,-0.010833998633831282,3984
Inflation expectations gap,5,25,-0.002965172935777835,3979
Inflation expectations gap,5,30,-0.012659995991440286,3974
Inflation expectations gap,5,35,-0.015000582373741158,3969
Inflation expectations gap,5,40,-0.012629280138473777,3964
Inflation expectations gap,5,45,-0.00979956109758617,3959
Inflation expectations gap,5,50,-0.020146717293614967,3954
Inflation expectations gap,5,55,-0.019600444393837353,3949
Inflation expectations gap,5,60,-0.020033446772097886,3944
Inflation expectations gap,21,0,-0.011757236578001064,3988
Inflation expectations gap,21,5,-0.012533055533321116,3983
Inflation expectations gap,21,10,-0.01946259855148946,3978
Inflation expectations gap,21,15,-0.02009674089760451,3973
Inflation expectations gap,21,20,-0.021792581721300698,3968
Inflation expectations gap,21,25,-0.023450432059889635,3963
Inflation expectations gap,21,30,-0.02796037053006048,3958
Inflation expectations gap,21,35,-0.032302098372960726,3953
Inflation expectations gap,21,40,-0.03242634335719219,3948
Inflation expectations gap,21,45,-0.037909087858518244,3943
Inflation expectations gap,21,50,-0.040525765796010756,3938
Inflation expectations gap,21,55,-0.03933662718827685,3933
Inflation expectations gap,21,60,-0.0382969350180631,3928
Inflation expectations gap,63,0,-0.043256873080902605,3946
Inflation expectations gap,63,5,-0.04620478665069404,3941
Inflation expectations gap,63,10,-0.054618841991172014,3936
Inflation expectations gap,63,15,-0.057845349962213334,3931
Inflation expectations gap,63,20,-0.05969970440375419,3926
Inflation expectations gap,63,25,-0.06565513853363802,3921
Inflation expectations gap,63,30,-0.07565696838121679,3916
Inflation expectations gap,63,35,-0.0858339936708368,3911
Inflation expectations gap,63,40,-0.09170739194345086,3906
Inflation expectations gap,63,45,-0.10451814223992967,3901
Inflation expectations gap,63,50,-0.12027631026933513,3896
Inflation expectations gap,63,55,-0.12969567252838457,3891
Inflation expectations gap,63,60,-0.13988482243244843,3886
Inflation persistence gap,5,0,0.009273207560441357,4004
Inflation persistence gap,5,5,0.01912761669323376,3999
Inflation persistence gap,5,10,0.012298009833410641,3994
Inflation persistence gap,5,15,0.0008717290689628332,3989
Inflation persistence gap,5,20,0.011935048849467979,3984
Inflation persistence gap,5,25,0.028375103827851196,3979
Inflation persistence gap,5,30,0.026402461223479005,3974
Inflation persistence gap,5,35,0.02168619832738658,3969
Inflation persistence gap,5,40,0.03246509977385243,3964
Inflation persistence gap,5,45,0.03707577069216258,3959
Inflation persistence gap,5,50,0.02790510949717652,3954
Inflation persistence gap,5,55,0.02721346943056462,3949
Inflation persistence gap,5,60,0.038467677682182115,3944
Inflation persistence gap,21,0,0.023670983711652778,3988
Inflation persistence gap,21,5,0.026222044679158465,3983
Inflation persistence gap,21,10,0.03135084029301078,3978
Inflation persistence gap,21,15,0.04001240168161632,3973
Inflation persistence gap,21,20,0.04960912177243906,3968
Inflation persistence gap,21,25,0.060676245238219566,3963
Inflation persistence gap,21,30,0.06612156531011204,3958
Inflation persistence gap,21,35,0.06425033062203621,3953
Inflation persistence gap,21,40,0.07025367504963917,3948
Inflation persistence gap,21,45,0.07337990855535326,3943
Inflation persistence gap,21,50,0.07876065332705842,3938
Inflation persistence gap,21,55,0.0860257754708626,3933
Inflation persistence gap,21,60,0.09971233074421518,3928
Inflation persistence gap,63,0,0.08411542514853211,3946
Inflation persistence gap,63,5,0.09482781467528188,3941
Inflation persistence gap,63,10,0.10293269522505813,3936
Inflation persistence gap,63,15,0.11205631411778871,3931
Inflation persistence gap,63,20,0.1297613936232184,3926
Inflation persistence gap,63,25,0.13868915988642502,3921
Inflation persistence gap,63,30,0.14144270650303042,3916
Inflation persistence gap,63,35,0.14078910391350227,3911
Inflation persistence gap,63,40,0.14443574642569929,3906
Inflation persistence gap,63,45,0.1378500770955374,3901
Inflation persistence gap,63,50,0.128931093800766,3896
Inflation persistence gap,63,55,0.12283531357901331,3891
Inflation persistence gap,63,60,0.1166103862071122,3886
