entry_z,exit_z,nobs,annualized_pnl_k,annualized_vol_k,sharpe,max_drawdown_k,annual_turnover
1.25,0.25,3252,174.42613869461997,1694.618476093239,0.10292944468346688,-4240.165113730245,7.824162311712266
1.25,0.0,3252,182.8250475085137,1778.794615295569,0.10278030186083909,-4396.717262944998,5.964955425760836
1.25,0.5,3252,9.24920524658447,1619.2159264988375,0.005712150612663277,-5757.322133192919,9.993237011988933
1.5,0.0,3252,-6.989225796222317,1725.743353610793,-0.004049979842946332,-4217.794683470541,4.725484168459883
1.5,0.25,3252,-14.81349063106508,1608.5705288120678,-0.009209102346295545,-4156.535524458334,5.655087611435598
1.0,0.25,3252,-18.61433729463832,1769.9047298004064,-0.010517140827539047,-5086.373255289259,10.45803873347679
1.0,0.5,3252,-39.869294112498935,1685.3361713110344,-0.02365658246181493,-5830.452167089978,15.260989855517984
1.0,0.0,3252,-67.7181459214329,1842.2349755017954,-0.03675869084126338,-5049.542993898576,7.359360590224409
1.5,0.5,3252,-80.18425469106062,1545.200749824838,-0.05189245132074276,-4810.598119815432,7.359360590224409
1.75,0.5,3252,-138.79693374318524,1491.0938961896418,-0.0930839661391335,-5716.6801570119815,5.190285889947741
1.75,0.25,3252,-145.258429948444,1543.3396685359355,-0.09411954666223352,-4947.441585699185,3.9508146326467877
0.75,0.25,3252,-227.57204164210935,1838.0328263692613,-0.12381282770212618,-7134.697745191584,14.951122041192745
0.75,0.5,3252,-242.81180823140448,1765.6663121232807,-0.13751851443516191,-8012.751431522479,23.00768521364894
1.75,0.0,3252,-248.59764660088203,1661.83361096032,-0.14959238094674562,-5504.7291941699905,3.48601291115893
0.75,0.0,3252,-284.56320394525477,1894.9131824209778,-0.1501721591179662,-7041.24804626159,9.993237011988933
